location_city,count
Cleveland,13600
Chicago,290
Philadelphia,273
Pittsburgh,232
Cincinnati,225
Louisville,185
Detroit,167
Dayton,167
Lexington,162
Indianapolis,159
Milwaukee,147
Columbus,142
Springfield,136
"Fort Wayne",119
Madison,113
Peoria,111
Toledo,107
Akron,103
Evansville,99
Erie,93
Lansing,87
Harrisburg,76
"Grand Rapids",76
Canton,72
"South Bend",51
Flint,47
"Wilkes Barre",40
Youngstown,36
Kalamazoo,36
Warren,33
Rockford,33
Scranton,29
Lancaster,29
Reading,28
"Green Bay",27
Bloomington,26
"Terre Haute",25
"Carol Stream",23
Gary,22
Farmington,20
Anderson,20
Southfield,19
Saginaw,18
"New Castle",18
Aurora,18
Mansfield,18
Allentown,17
Levittown,17
Palatine,16
Schaumburg,16
Racine,16
Muskegon,16
Bethlehem,15
"East Saint Louis",15
Lima,15
"Ann Arbor",15
Appleton,15
Muncie,14
Champaign,13
Joliet,13
"Battle Creek",13
Hamilton,13
Lafayette,13
Dearborn,12
"Valley Forge",12
London,12
Midland,12
Crawfordsville,12
Decatur,11
York,11
Naperville,11
Evanston,11
"Mc Keesport",10
Troy,10
Jeffersonville,10
Johnstown,9
Frankfort,8
